1	29	1	1	3	3
1	29	2	1	3	1
1	30	1	1	3	7
1	30	2	1	3	5
1	31	1	1	3	4
1	31	2	1	3	2
1	32	1	1	3	8
1	32	2	1	3	6
1	33	1	1	2	3
1	33	2	1	2	1
1	34	1	1	2	7
1	34	2	1	2	5
1	35	1	1	2	4
1	35	2	1	2	2
1	36	1	1	2	8
1	36	2	1	2	6
1	37	1	1	1	3
1	37	2	1	1	1
1	38	1	1	1	7
1	38	2	1	1	5
1	39	1	1	1	4
1	39	2	1	1	2
3	29	1	2	3	5
3	29	2	2	3	7
3	30	1	2	3	1
3	30	2	2	3	3
3	31	1	2	3	6
3	31	2	2	3	8
3	32	1	2	3	2
3	32	2	2	3	4
3	33	1	2	2	5
3	33	2	2	2	7
3	34	1	2	2	1
3	34	2	2	2	3
3	35	1	2	2	6
3	35	2	2	2	8
3	36	1	2	2	2
3	36	2	2	2	4
3	37	1	2	1	5
3	37	2	2	1	7
3	38	1	2	1	1
3	38	2	2	1	3
3	39	1	2	1	2
3	39	2	2	1	4
3	40	1	3	1	8
3	40	2	3	1	6
3	41	1	2	1	6
3	41	2	2	1	8
5	29	1	3	3	3
5	29	2	3	3	1
5	30	1	3	3	7
5	30	2	3	3	5
5	31	1	3	3	4
5	31	2	3	3	2
5	32	1	3	3	8
5	32	2	3	3	6
5	33	1	3	2	3
5	33	2	3	2	1
5	34	1	3	2	7
5	34	2	3	2	5
5	35	1	3	2	4
5	35	2	3	2	2
5	36	1	3	2	8
5	36	2	3	2	6
5	37	1	3	1	3
5	37	2	3	1	1
5	38	1	3	1	7
5	38	2	3	1	5
5	39	1	3	1	4
5	39	2	3	1	2
7	29	1	4	3	5
7	29	2	4	3	7
7	30	1	4	3	1
7	30	2	4	3	3
7	31	1	4	3	6
7	31	2	4	3	8
7	32	1	4	3	2
7	32	2	4	3	4
7	33	1	4	2	5
7	33	2	4	2	7
7	34	1	4	2	1
7	34	2	4	2	3
7	35	1	4	2	6
7	35	2	4	2	8
7	36	1	4	2	2
7	36	2	4	2	4
7	37	1	4	1	5
7	37	2	4	1	7
7	38	1	4	1	1
7	38	2	4	1	3
7	39	1	4	1	2
7	39	2	4	1	4
7	40	1	5	1	8
7	40	2	5	1	6
7	41	1	4	1	6
7	41	2	4	1	8
9	29	1	5	3	3
9	29	2	5	3	1
9	30	1	5	3	7
9	30	2	5	3	5
9	31	1	5	3	4
9	31	2	5	3	2
9	32	1	5	3	8
9	32	2	5	3	6
9	33	1	5	2	3
9	33	2	5	2	1
9	34	1	5	2	7
9	34	2	5	2	5
9	35	1	5	2	4
9	35	2	5	2	2
9	36	1	5	2	8
9	36	2	5	2	6
9	37	1	5	1	3
9	37	2	5	1	1
9	38	1	5	1	7
9	38	2	5	1	5
9	39	1	5	1	4
9	39	2	5	1	2
11	29	1	6	3	5
11	29	2	6	3	7
11	30	1	6	3	1
11	30	2	6	3	3
11	31	1	6	3	6
11	31	2	6	3	8
11	32	1	6	3	2
11	32	2	6	3	4
11	33	1	6	2	5
11	33	2	6	2	7
11	34	1	6	2	1
11	34	2	6	2	3
11	35	1	6	2	6
11	35	2	6	2	8
11	36	1	6	2	2
11	36	2	6	2	4
11	37	1	6	1	5
11	37	2	6	1	7
11	38	1	6	1	1
11	38	2	6	1	3
11	39	1	6	1	2
11	39	2	6	1	4
11	40	1	7	1	8
11	40	2	7	1	6
11	41	1	6	1	6
11	41	2	6	1	8
13	29	1	7	3	3
13	29	2	7	3	1
13	30	1	7	3	7
13	30	2	7	3	5
13	31	1	7	3	4
13	31	2	7	3	2
13	32	1	7	3	8
13	32	2	7	3	6
13	33	1	7	2	3
13	33	2	7	2	1
13	34	1	7	2	7
13	34	2	7	2	5
13	35	1	7	2	4
13	35	2	7	2	2
13	36	1	7	2	8
13	36	2	7	2	6
13	37	1	7	1	3
13	37	2	7	1	1
13	38	1	7	1	7
13	38	2	7	1	5
13	39	1	7	1	4
13	39	2	7	1	2
15	29	1	8	3	5
15	29	2	8	3	7
15	30	1	8	3	1
15	30	2	8	3	3
15	31	1	8	3	6
15	31	2	8	3	8
15	32	1	8	3	2
15	32	2	8	3	4
15	33	1	8	2	5
15	33	2	8	2	7
15	34	1	8	2	1
15	34	2	8	2	3
15	35	1	8	2	6
15	35	2	8	2	8
15	36	1	8	2	2
15	36	2	8	2	4
15	37	1	8	1	5
15	37	2	8	1	7
15	38	1	8	1	1
15	38	2	8	1	3
15	39	1	8	1	2
15	39	2	8	1	4
15	40	1	9	1	8
15	40	2	9	1	6
15	41	1	8	1	6
15	41	2	8	1	8
17	29	1	9	3	3
17	29	2	9	3	1
17	30	1	9	3	7
17	30	2	9	3	5
17	31	1	9	3	4
17	31	2	9	3	2
17	32	1	9	3	8
17	32	2	9	3	6
17	33	1	9	2	3
17	33	2	9	2	1
17	34	1	9	2	7
17	34	2	9	2	5
